RM1912000.031272
Normal   20/01/2019 00:02:11 20/01/2019 00:03:11 0110 113.5696 22.1657 -90.0 0.0 25.7 1006.6
0001201 0020 0001201 0000 07
1 0 1 16230 1 0800 7.50 00355.p 0 0 09 000 12 001201 0.100 BT0
1 1 1 16230 1 0800 7.50 00355.p 0 0 00 000 00 001201 3.9683 BC0
1 0 1 16230 1 0780 7.50 00355.s 2 0 09 000 12 001201 0.100 BT1
1 1 1 16230 1 0780 7.50 00355.s 2 0 00 000 00 001201 3.9683 BC1
1 0 2 16230 1 0850 7.50 00387.o 1 0 09 000 12 001201 0.100 BT2
1 1 2 16230 1 0850 7.50 00387.o 1 0 00 000 00 001201 3.9683 BC2
1 0 1 01200 1 0149 1.00 00355.p 1 0 00 000 00 000001 0.000001 PD0
00355.p_an (mV), 00355.p_ph (counts), 00355.s_an (mV), 00355.s_ph (counts), 00387.o_an (mV), 00387.o_ph (counts), PD_00355.p_an
5.1040,62.0000,5.1488,94.0000,5.0926,0.0000,132.9600
5.1062,76.0000,5.1502,89.0000,5.0934,0.0000,139.5200
5.0984,83.0000,5.1518,93.0000,5.0937,0.0000,137.4400
5.1020,57.0000,5.1486,91.0000,5.0931,0.0000,138.4000
5.1015,68.0000,5.1502,80.0000,5.0936,0.0000,137.7600
5.0961,68.0000,5.1512,82.0000,5.0933,0.0000,138.8800
5.1014,65.0000,5.1489,78.0000,5.0934,0.0000,136.1600
5.1045,60.0000,5.1505,79.0000,5.0931,0.0000,134.0800
5.0994,64.0000,5.1485,74.0000,5.0934,0.0000,135.8400
5.0992,49.0000,5.1475,92.0000,5.0929,0.0000,137.2800
5.1032,55.0000,5.1474,79.0000,5.0930,0.0000,139.8400
5.1005,55.0000,5.1474,70.0000,5.0936,0.0000,138.8800
5.0962,62.0000,5.1488,76.0000,5.0935,0.0000,136.3200
5.1007,53.0000,5.1482,84.0000,5.0938,0.0000,139.2000
5.0994,55.0000,5.1476,75.0000,5.0941,0.0000,135.0400
5.0951,50.0000,5.1446,78.0000,5.0936,0.0000,131.0400
5.0973,51.0000,5.1434,79.0000,5.0927,0.0000,132.1600
5.0966,51.0000,5.1451,72.0000,5.0922,0.0000,138.2400
5.0945,62.0000,5.1501,63.0000,5.0943,0.0000,137.7600
5.0955,44.0000,5.1463,70.0000,5.0935,0.0000,136.8000
5.0948,58.0000,5.1431,90.0000,5.0926,0.0000,138.2400
5.0947,60.0000,5.1464,84.0000,5.0934,0.0000,130.4000
5.0912,60.0000,5.1473,84.0000,5.0926,0.0000,130.4000
5.0930,52.0000,5.1433,63.0000,5.0922,0.0000,132.3200
5.0912,49.0000,5.1457,77.0000,5.0940,0.0000,129.1200
5.0905,49.0000,5.1462,77.0000,5.0936,0.0000,132.9600
5.0950,25.0000,5.1421,68.0000,5.0942,0.0000,135.5200
5.0938,51.0000,5.1421,54.0000,5.0926,0.0000,136.4800
5.0904,46.0000,5.1443,57.0000,5.0927,0.0000,131.2000
5.0944,56.0000,5.1491,79.0000,5.0934,0.0000,131.8400
5.0973,42.0000,5.1479,66.0000,5.0932,0.0000,135.2000
5.0979,46.0000,5.1446,82.0000,5.0942,0.0000,130.8800
5.0950,40.0000,5.1432,58.0000,5.0932,0.0000,132.3200
