RM1912000.021110,,,,,,
Normal   20/01/2019 00:01:10 20/01/2019 00:02:11 0110 113.5696 22.1657 -90.0 0.0 25.7 1006.6,,,,,,
0001201 0020 0001201 0000 07,,,,,,
1 0 1 16230 1 0800 7.50 00355.p 0 0 09 000 12 001201 0.100 BT0,,,,,,
1 1 1 16230 1 0800 7.50 00355.p 0 0 00 000 00 001201 3.9683 BC0,,,,,,
1 0 1 16230 1 0780 7.50 00355.s 2 0 09 000 12 001201 0.100 BT1,,,,,,
1 1 1 16230 1 0780 7.50 00355.s 2 0 00 000 00 001201 3.9683 BC1,,,,,,
1 0 2 16230 1 0850 7.50 00387.o 1 0 09 000 12 001201 0.100 BT2,,,,,,
1 1 2 16230 1 0850 7.50 00387.o 1 0 00 000 00 001201 3.9683 BC2,,,,,,
1 0 1 01201 1 0149 1.00 00355.p 1 0 00 000 00 000001 0.000001 PD0,,,,,,
00355.p_an (mV), 00355.p_ph (counts), 00355.s_an (mV), 00355.s_ph (counts), 00387.o_an (mV), 00387.o_ph (counts), PD_00355.p_an
5.1035,70,5.1502,85,5.0934,0,126.4
5.0994,57,5.1491,83,5.0935,0,128.16
5.0997,47,5.1519,95,5.0929,0,131.04
5.0982,67,5.1474,96,5.0926,0,128.96
5.103,56,5.1515,77,5.0916,0,128.64
5.0992,69,5.1511,107,5.0931,0,129.12
5.1009,58,5.1472,88,5.0926,0,129.92
5.102,69,5.151,95,5.0934,0,127.36
5.0972,61,5.1434,73,5.0935,0,127.84
5.0954,66,5.1436,79,5.092,0,128
5.0922,64,5.1474,73,5.0927,0,128.96
5.0934,64,5.1495,87,5.0931,0,127.52
5.0981,62,5.1479,91,5.0938,0,124.64
5.0951,56,5.146,73,5.0931,0,126.56
5.0967,52,5.1502,93,5.0925,0,125.76
5.0977,48,5.1486,80,5.0907,0,124.64
5.0979,45,5.1463,77,5.0927,0,122.24
5.0959,51,5.1467,77,5.0929,0,128
5.0961,50,5.1438,67,5.0925,0,127.36
5.0985,42,5.143,56,5.0934,0,127.36
5.0939,49,5.1484,73,5.0917,0,132.96
5.0952,55,5.1485,64,5.0923,0,123.2
5.0937,44,5.1433,77,5.0928,0,126.08
5.0898,55,5.1481,74,5.0926,0,126.56
5.0925,49,5.1438,87,5.0926,0,126.88
5.0863,58,5.1435,81,5.0932,0,130.4
5.092,50,5.1454,66,5.0931,0,124.16
5.093,47,5.1432,77,5.092,0,127.52
5.0885,46,5.1403,76,5.0916,0,127.84
5.0922,49,5.1439,58,5.0921,0,125.44
5.0932,51,5.1428,73,5.0933,0,127.52
5.0892,49,5.1453,76,5.0929,0,128
5.0921,52,5.1461,93,5.0927,0,129.28
5.0916,54,5.1465,104,5.0935,0,124.96
5.0957,60,5.1471,80,5.0922,0,125.92
5.0931,73,5.1426,65,5.0925,0,127.36
5.0891,80,5.1445,96,5.0922,0,132.32
5.0897,175,5.1451,105,5.0928,0,128.16
5.0921,374,5.1408,238,5.0932,0,124.48
5.094,653,5.1438,559,5.0924,0,127.04
5.0925,1068,5.1452,1227,5.0925,0,127.52
5.0906,985,5.1477,1740,5.0934,0,124.96
5.0947,612,5.1512,1319,5.094,0,128
5.0952,216,5.145,432,5.0934,0,125.28
5.0976,124,5.1408,147,5.0939,0,128.96
5.1092,363,5.1478,424,5.0929,0,120.48
5.1411,570,5.1558,887,5.0922,0,127.2
5.2242,684,5.198,1206,5.0929,0,127.04
5.3475,812,5.3009,1703,5.0929,0,127.36
5.4735,599,5.5123,1472,5.0927,0,117.44
5.4086,227,5.7003,600,5.0918,0,126.4
5.2492,49,5.5388,145,5.0917,0,122.56
5.1383,17,5.2357,55,5.0923,0,132.32
5.117,13,5.1551,62,5.0935,0,126.08
5.2364,9,5.2766,49,5.093,0,125.44
5.2992,14,5.4253,37,5.0933,0,133.76
5.3196,13,5.5264,47,5.0936,0,128.32
5.3691,11,5.6932,63,5.0926,0,124.8
5.2553,19,5.6146,45,5.0923,0,129.44
5.1318,12,5.2726,46,5.0927,0,128
5.0924,13,5.1727,48,5.0913,0,126.72
5.0771,10,5.1331,44,5.0925,0,122.56
5.083,16,5.1442,50,5.0923,0,131.36
5.0785,10,5.1417,36,5.0925,0,127.52
5.0798,9,5.1359,56,5.093,0,127.04
5.0803,12,5.1413,59,5.0937,0,131.68
5.0784,11,5.1416,56,5.0932,0,129.6
5.0805,14,5.1385,57,5.0934,0,127.84
5.0813,10,5.1374,53,5.0935,0,124.96
5.0806,12,5.1386,44,5.0931,0,126.08
5.0787,12,5.1362,54,5.0924,0,125.6
5.0816,9,5.136,37,5.0929,0,132.16
5.0796,10,5.1343,51,5.0928,0,126.56
5.0779,14,5.1389,56,5.0931,0,123.36
5.0794,8,5.1419,43,5.0922,0,127.2
5.0786,13,5.1407,48,5.0927,0,128.96
5.0786,8,5.1404,43,5.0925,0,133.44
5.0793,10,5.1372,54,5.0915,0,124.16
5.0778,16,5.1375,52,5.0927,0,127.2
5.0782,8,5.1369,53,5.0934,0,126.72
5.0772,14,5.1368,47,5.0928,0,122.88
5.0794,7,5.1374,42,5.0938,0,126.56
5.0796,10,5.1384,44,5.0918,0,125.12
5.0774,4,5.1382,45,5.0926,0,133.44
5.0783,10,5.1381,37,5.0925,0,124.48
5.0784,11,5.1389,45,5.0924,0,131.52
5.0768,11,5.1378,51,5.0928,0,126.4
5.0789,9,5.1395,48,5.0937,0,125.44
5.0789,6,5.1373,52,5.0931,0,121.12
5.0797,11,5.1372,52,5.0922,0,122.88
5.078,4,5.1369,32,5.0923,0,125.44
